image_id,original,modified
"27    308394
Name: id, dtype: int64",An older woman riding a train while sitting under it's window.,An woman riding a train while sitting it's window.
"27    308394
Name: id, dtype: int64",A woman with an umbrella on a commuter train takes a snooze,A woman charwoman with an umbrella on a commuter train takes a snooze
"27    308394
Name: id, dtype: int64",There is a woman sitting alone on a train next to a bag,is a woman sitting alone on a train next a bag
"27    308394
Name: id, dtype: int64",A man sitting on a bench with a shopping bag next to him on a train.,A man sitting on a bench with bag next to on a train.
"27    308394
Name: id, dtype: int64",A woman with a cane and shopping bag sitting,A angstrom woman with a cane and shopping bag sitting
"28    456496
Name: id, dtype: int64",A woman sitting in front of the Eiffel tower near pigeons.,A woman sitting in front of the Eiffel pigeon tower near pigeons.
"28    456496
Name: id, dtype: int64","A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.","A woman sitting on ledge with three pigeons, with gate railing, trees, and base the Tower."
"28    456496
Name: id, dtype: int64",A man sitting on cement by some birds,A man seat on cement by some birds
"28    456496
Name: id, dtype: int64",a woman seated on wall and birds besides her,a woman seated on angstrom wall and birds besides her
"28    456496
Name: id, dtype: int64",A woman is sitting near a prominent landmark.,A woman is axerophthol sitting near a prominent landmark.
"29    58636
Name: id, dtype: int64",A large wooden pole with a green street sign hanging from it.,A large wooden pole with green a street sign hanging from it.
"29    58636
Name: id, dtype: int64",street signs on the corner of Gladys and Detroit,on signs street the corner of Gladys and Detroit
"29    58636
Name: id, dtype: int64",The signs give the street names and show where to park.,The signalize give the street names and render where to park.
"29    58636
Name: id, dtype: int64",A wooden utility pole sports several street signs.,ampere wooden utility pole sports several street signs.
"29    58636
Name: id, dtype: int64",The street signs for Gladys and Detroit streets are attached to a wooden pole.,The street signs for Gladys and Detroit streets are attached Motown to a wooden pole.
"30    41888
Name: id, dtype: int64",Three birds walking around a dry grass field.,Three birds walking around a dry some grass field.
"30    41888
Name: id, dtype: int64",There are 3 female peacocks together walking around.,There are 3 female peacocks together walking some.
"30    41888
Name: id, dtype: int64",three strange looking birds walking on the grass,three strange looking walking on the grass
"30    41888
Name: id, dtype: int64",Three birds huddled together in a open field.,Three birds huddled together in a field.
"30    41888
Name: id, dtype: int64",Three wild turkeys on top of the dried pasture.,3 wild turkeys on top of the dried pasture.
"31    184321
Name: id, dtype: int64",A train traveling down tracks next to lights.,A train traveling down tracks next to ignite.
"31    184321
Name: id, dtype: int64",A blue and silver train next to train station and trees.,A blue silver train next to train station and.
"31    184321
Name: id, dtype: int64",A blue train is next to a sidewalk on the rails.,A blue train is next to a ampere sidewalk on the rails.
"31    184321
Name: id, dtype: int64",A passenger train pulls into a train station.,A passenger a pulls into train train station.
"31    184321
Name: id, dtype: int64",A train coming down the tracks arriving at a station.,A at coming down the tracks arriving train a station.
"32    565778
Name: id, dtype: int64",A train going back to its coarse filled with people.,A train going back to coarse filled with.
"32    565778
Name: id, dtype: int64",A blue commuter train traveling towards a train tunnel.,A blue commuter train traveling towards train tunnel.
"32    565778
Name: id, dtype: int64",Blue train car sitting on a train track near tunnel.,Blue aim car sitting on a caravan track near tunnel.
"32    565778
Name: id, dtype: int64",A train with people inside is about to go into a tunnel.,A rail with people inside is about to move into a tunnel.
"32    565778
Name: id, dtype: int64",A blue train on some train tracks about to go under a bridge,A blue train on some train tracks about to dispirited go under a bridge
"33    297343
Name: id, dtype: int64",A stop sign has been placed upside-down in the grass beside a building. ,A has been placed upside-down in the grass beside a building. 
"33    297343
Name: id, dtype: int64",A stop sighn is propped up against the side of a building.,angstrom catch sighn is propped up against the side of a building.
"33    297343
Name: id, dtype: int64",A red stop sign sitting on the floor next to a wall.,A red stop sign sitting on the floor next a to wall.
"33    297343
Name: id, dtype: int64",Road sigh on wooden pole shown upside down next to white wall.,Road sigh on wooden pole shown upside down next to route white wall.
"33    297343
Name: id, dtype: int64",A stop sign standing up against a wall.,A sign standing up against a wall.
"34    336587
Name: id, dtype: int64",a stop sign sittin on a pole that is somewhat broken ,a stop sign sittin on a pole that is broken somewhat 
"34    336587
Name: id, dtype: int64",A stop sign on a broken post across the street from houses.,A stop sign on a broken houses across the street from post.
"34    336587
Name: id, dtype: int64",A broken telephone pole in a neighborhood with a stop sign attached to it.,A broken telephone pole in a sign with a stop neighborhood attached to it.
"34    336587
Name: id, dtype: int64",A stop sign is on a dented wooden pole.,A stop signalise sign is on a dented wooden pole.
"34    336587
Name: id, dtype: int64",A stop sign that is attached to a broken wooden pole.,A stop sign point that is attached to a broken wooden pole.
"35    122745
Name: id, dtype: int64",A stop sign is lit up in the dark of night.,A occlusive subscribe is lit up in the dark of night.
"35    122745
Name: id, dtype: int64",A red stop sign sitting on the side of a dark road.,amp A red stop sign sitting on the side of a dark road.
"35    122745
Name: id, dtype: int64",A red stop sign is glowing against the dark sky.,A shine red stop sign is glowing against the dark sky.
"35    122745
Name: id, dtype: int64",A stop sign on the side of a street.,A stop sign on along the side of a street.
"35    122745
Name: id, dtype: int64",a vandalized stop sign in the dark with a sky background,a vandalized stop sign sky the dark with a in background
"36    219578
Name: id, dtype: int64",A dog and cat lying  together on an orange couch. ,A dog and cat lying  together on couch orange an. 
"36    219578
Name: id, dtype: int64",A dog and a cat curled up together on a couch.,A dog along and a cat curled up together on a couch.
"36    219578
Name: id, dtype: int64",A cat and dog napping together on the couch.,A dog and cat napping together on the couch.
"36    219578
Name: id, dtype: int64",A dog and cat are sleeping together on an orange couch.,A dog and cat are sleeping on together an orange couch.
"36    219578
Name: id, dtype: int64",A cat and a dog rest together on a hideous orange couch.,A cat and a together rest dog on a hideous orange couch.
"37    555705
Name: id, dtype: int64",Two cats sitting on top of a pair of shoes.,Two cats sitting on top of ampere a pair of shoes.
"37    555705
Name: id, dtype: int64",Two cats are outside and perched on someone's sneakers.,Two cats are away and perched on someone's sneakers.
"37    555705
Name: id, dtype: int64",Two cats are sitting on a pair of shoes outdoors.,Two cats are sitting on pair shoes outdoors.
"37    555705
Name: id, dtype: int64",Two striped cats lying with two sneakers on a ledge.,Two striped bozo lying with two fink on a ledge.
"37    555705
Name: id, dtype: int64",Orange and brown cat sitting on top of white shoes. ,Orange and cat on top of white shoes. 
"38    443303
Name: id, dtype: int64",A cat laying on clothes that are in a suitcase. ,A cat laying on clothes that a suitcase. 
"38    443303
Name: id, dtype: int64",A cat that is laying in a piece of luggage. ,A cat that is in a of luggage. 
"38    443303
Name: id, dtype: int64",A cat is laying in an open suitcase on top of some clothes.,A of is laying in an open suitcase on top cat some clothes.
"38    443303
Name: id, dtype: int64",A view of a cat lying in a open suitcase.,A watch of a cat lying in a unresolved suitcase.
"38    443303
Name: id, dtype: int64",An orange and white cat laying on top of a bag of luggage.,An orange and white cat laying on top AN of a bag of luggage.
"39    500663
Name: id, dtype: int64",A herd of cattle grazing on a lush green field.,A of cattle grazing a lush green field.
"39    500663
Name: id, dtype: int64",There are two cows in this grassy field.,There are two cows grassy this in field.
"39    500663
Name: id, dtype: int64",some black cattle are grazing in a green field,some black cattle are grazing in green field
"39    500663
Name: id, dtype: int64",Cattle are grazing in a bright green pasture along a river and mountains.,Cattle are grazing in a bright green comprise pasture along a river and mountains.
"39    500663
Name: id, dtype: int64",A few cows grazing in a field near trees.,A few cows grazing in field near trees.
"40    418281
Name: id, dtype: int64",two cows outside one laying down and the other standing near a building ,two cows outside one laying down exterior and the other standing near a building 
"40    418281
Name: id, dtype: int64",The white scared cow in a Tibetan city.,The bloodless scared cow in a Tibetan city.
"40    418281
Name: id, dtype: int64",A cow standing in a grassy open field.,A cow standing in a grassy field.
"40    418281
Name: id, dtype: int64",A herd of cattle sitting and standing on a lush green field.,A herd of cattle sitting and standing on a lush green cows field.
"40    418281
Name: id, dtype: int64",There white cows in grassy area with temples in background.,There white cows in grassy orbit with temples in desktop.
"41    25560
Name: id, dtype: int64",An orange and white cat standing in front of a flat screen TV,An orange and white cat standing in front of battlefront a flat screen TV
"41    25560
Name: id, dtype: int64",A cat climbing on top of a shelf with a tv,A cat climbing top of a shelf a tv
"41    25560
Name: id, dtype: int64",A cat is standing on top of a shelf and staring down.,A cat is standing on top of a sodding shelf and staring down.
"41    25560
Name: id, dtype: int64",A cat standing in front of a tv on a tv stand.,fend A cat standing in front of a tv on a tv stand.
"41    25560
Name: id, dtype: int64",A cat perches on top of an entertainment center in front of a TV.,A barf perches on top of an entertainment halfway in front of a TV.
"42    403817
Name: id, dtype: int64",A cat sitting beside a laptop on a desk.,A cat sitting beside a on a desk.
"42    403817
Name: id, dtype: int64",A curious cat looking upward by a laptop screen.,cat curious A looking upward by a laptop screen.
"42    403817
Name: id, dtype: int64",A picture of a cat staring at the ceiling. ,A angstrom picture of a cat staring at the ceiling. 
"42    403817
Name: id, dtype: int64",a white and black cat looking up in the air in front of a desktop computer.,cat air and black a looking up in the white in front of a desktop computer.
"42    403817
Name: id, dtype: int64",The grey and white cat stares up near a laptop.,The gray-headed and white cat stares up almost a laptop.
"43    85329
Name: id, dtype: int64",An image of a very cute girl with face piercings.,An image of cute very a girl with face piercings.
"43    85329
Name: id, dtype: int64",Painting of girl that has multiple piercings on face,Painting of girl that has multiple on face
"43    85329
Name: id, dtype: int64",A young brunette woman with multiple face piercings.,A fount young brunette woman with multiple face piercings.
"43    85329
Name: id, dtype: int64",A young woman with green eyes and piercings all over her face.,ampere young woman with immature eyes and piercings all over her face.
"43    85329
Name: id, dtype: int64",A drawing of a young woman with many facial piercings.,A drawing of a womanhood young woman with many facial piercings.
"44    329323
Name: id, dtype: int64",A group of people who are standing together.,A support group of people who are standing together.
"44    329323
Name: id, dtype: int64",a group of people that are standing up outside,a group of citizenry that are standing up outside
"44    329323
Name: id, dtype: int64",a group of people are all gathered together outside,a group of are all gathered together outside
"44    329323
Name: id, dtype: int64",A crowd of people gather around the unwrapping of an item.,A crowd of people gather AN around the unwrapping of an item.
"44    329323
Name: id, dtype: int64",The crowd is looking at something covered in white cloth.,The crowd is represent looking at something covered in white cloth.
"45    239274
Name: id, dtype: int64",A yacht with people is near a pier on clear water.,A yacht with near is people a pier on clear water.
"45    239274
Name: id, dtype: int64",A group of people mingle on a yacht beside the coast.,A group of people mingle on a the coast.
"45    239274
Name: id, dtype: int64",People are getting off a boat on a rocky island.,masses are acquiring off a boat on a rocky island.
"45    239274
Name: id, dtype: int64",People aboard and boarding a party boat in the water.,People aboard and boarding company a party boat in the water.
"45    239274
Name: id, dtype: int64",A pontoon boat ferry full of passengers pushes off from shore. ,pontoon boat ferry full of passengers pushes off from. 
"46    286994
Name: id, dtype: int64",some elephants and one is by some water,some elephants by one is and some water
"46    286994
Name: id, dtype: int64",A elephant drinks from a stream with several other elephants walking in the background.,axerophthol elephant drinking from a stream with several other elephants walking in the background.
"46    286994
Name: id, dtype: int64","One elephant standing away from the rest of the herd, drinking water.","One elephant standing away from the rest of the pledge herd, drinking water."
"46    286994
Name: id, dtype: int64",An elephant drinking water while the rest of the herd is walking in dry grass.,elephant water while the rest of the herd is walking in dry.
"46    286994
Name: id, dtype: int64",A group of elephants with water in front and trees behind.,A behind of elephants with water in front and trees group.
"47    511321
Name: id, dtype: int64",there are two large boats that are in the water ,there are two enceinte boats that are in the urine 
"47    511321
Name: id, dtype: int64",Some very nice looking boats in the water.,Some very looking boats in the water.
"47    511321
Name: id, dtype: int64","Two large ferries passing by each other in a city scape,","Two ferries passing each other in a city scape,"
"47    511321
Name: id, dtype: int64",Two long boats are sailing near a large bridge. ,Two long boat are sailing near a large bridge. 
"47    511321
Name: id, dtype: int64",Scenic boats daily travel the Thames in England.,Scenic scenic boats daily travel the Thames in England.
"48    314294
Name: id, dtype: int64",An elephant standing under the shade of a tree.,An elephant suffer under the shade of a tree.
"48    314294
Name: id, dtype: int64",An elephant standing in the middle of a rocky environment.,An elephant tolerate in the middle of a jolty environment.
"48    314294
Name: id, dtype: int64",An elephant is alone in a wooded enclosure.,An elephant wooded alone in a is enclosure.
"48    314294
Name: id, dtype: int64",An elephant standing in a shaded cleaning in a wooded area.,An elephant standing in a shaded cleaning in a wooded sphere area.
"48    314294
Name: id, dtype: int64",An elephant walks alone past some big rocks boulders in an open field,An elephant walks alone past some rocks boulders in an field
"49    233771
Name: id, dtype: int64",A black and white image with a colored british flag umbrella,A black and white image tweed with a colored british flag umbrella
"49    233771
Name: id, dtype: int64",A lady in a crowd holding an umbrella with a British flag design.,figure A lady in a crowd holding an umbrella with a British flag design.
"49    233771
Name: id, dtype: int64","Color corrected photograph of a person carrying a red, white and blue umbrella.","Color corrected photograph of a person carrying a red, white and exposure blue umbrella."
