,label,original,hypothesis,modified
143,contradiction,a man and a woman at an outing talking to each other.,the eagle soars above the mountain top.,supra the eagle soars above the mountain top.
144,entailment,a man and a woman at an outing talking to each other.,two people talk with each other on an outing.,people talk with each other on an outing.
145,entailment,a man and a woman at an outing talking to each other.,a man and woman are talking,a man woman and are talking
146,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a group of people are at an event where a woman is talking to a man, and they are wearing different types of shirts.","a aggroup of people are at an event where a charwoman is talking to a humans, and they are bust different types of shirts."
147,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a large crowd is gathered to watch a music concert.,a heavy gang is gathered to watch a music concert.
148,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there are many people convening for an event.,there are many people convening for an consequence.
149,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people are watching two monkeys dressed like a man and a woman pretend to dance.,dancing a group of people are watching two monkeys dressed like a man and embody a woman pretend to dance.
150,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,people are talking at an event.,talking are people at an event.
151,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the man in the brown t-shirt is sleeping.,the man in the brown t-shirt sleeping.
152,entailment,a man and a woman at an outing talking to each other.,people are talking to each other.,people other talking to each are.
153,entailment,a couple are speaking at an event on 09-09-2007.,romantic partners speak at an event.,partners romantic speak at an event.
154,entailment,a couple are speaking at an event on 09-09-2007.,two people speak at an event.,two outcome people speak at an event.
155,neutral,a man and a woman at an outing talking to each other.,a couple is talking,talking couple is a
156,entailment,a man and a woman at an outing talking to each other.,a man and woman talking to eachother outside.,a man and woman talking to eachother humans outside.
157,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a women and a man are flirting at an event.,a womanhood and a humankind are flirting at an event.
158,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the crowd is gathered outdoors.,the crowd is gathered live outdoors.
159,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there is a large crowd and none of the people are women.,there a large crowd and none of the people women.
160,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a crowd gathers to hear the concert,to crowd gathers a hear the concert
161,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a dog is talking to a person at a event.,a tail is talking to a somebody at a event.
162,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a man and a woman stand alone in the street,a homo and a woman rack alone in the street
163,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is drinking from a water bottle.,a man axerophthol is drinking from a water bottle.
164,entailment,a man and a woman at an outing talking to each other.,two people are conversing.,two are conversing.
165,contradiction,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother on their couch.,a human and a woman babble to eachother on their couch.
166,contradiction,a man and a woman at an outing talking to each other.,the man and the woman are traveling by train to new york.,the man New and the woman are traveling by train to new york.
167,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman.,a man is to a woman.
168,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people talk together at a concert,two people talk together at a amp concert
169,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture are at an indie folk festival.,the people in the picture are at follow an indie folk festival.
170,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman,a man talking to a woman
171,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture have never been to any kind of concert.,the multitude in the picture have never been to any genial of concert.
172,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to his wife.,a man is talking to his verbalize wife.
173,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman at an outdoor concert.,a man is talking to a woman at concert outdoor an.
174,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two men are talking at concert.,men are talking at concert.
175,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit together talking in a restaurant,two people sit together speak in a restaurant
176,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is strangling a woman at a concert.,a man is strangling a woman at concert.
177,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman he met at the festival.,a man is coquet with a charwoman he met at the festival.
178,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit down next to each other as they talk at a concert,two people down next to each as they talk at a concert
179,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman at a concert.,a man flirting with a woman a concert.
180,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,this picture shows people at a concert.,this picture shows people at concert a.
181,entailment,a couple are speaking at an event on 09-09-2007.,the couple make a few remarks at the event.,the couple make a remarks at the event.
182,contradiction,a couple are speaking at an event on 09-09-2007.,a man addresses the audience in september of 2009.,man addresses the audience in september of 2009.
183,entailment,a couple are speaking at an event on 09-09-2007.,two people address the audience in september of 2007.,two people address september audience in the of 2007.
184,neutral,a couple are speaking at an event on 09-09-2007.,a husband and wife address the audience in september of 2007.,and husband a wife address the audience in september of 2007.
185,entailment,a couple are speaking at an event on 09-09-2007.,two people together are speaking at the event on 09-09-2007,two together speaking at the event on 09-09-2007
186,neutral,a couple are speaking at an event on 09-09-2007.,a couple speaks at a couples therapy event.,a couple speaks at a couples event therapy.
187,contradiction,a couple are speaking at an event on 09-09-2007.,two people together weren't speaking at all at the event on 09-09-2007,people together weren't speaking at all at the on 09-09-2007
188,neutral,a couple are speaking at an event on 09-09-2007.,two people together are speaking loudly at the event on 09-09-2007,two mass together are speaking loudly at the effect on 09-09-2007
189,neutral,a couple are speaking at an event on 09-09-2007.,a man and a woman are speaking at an event.,a man and a woman are speaking at.
190,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking by himself in the bathroom mirror.,a man is in by himself speaking the bathroom mirror.
191,contradiction,a couple are speaking at an event on 09-09-2007.,two single people speak at an event.,single people speak at an event.
192,neutral,a couple are speaking at an event on 09-09-2007.,the individuals are thanking everyone for attending the event.,the individuals are thanking everyone for attend the event.
193,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking about his political campaign.,a man is speaking about his political.
194,neutral,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is taking tickets.,is man the taking tickets.
195,entailment,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is wearing a brown shirt.,the man is wearing a brown.
196,contradiction,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is cooking dinner.,the is cooking dinner.
197,neutral,a man and a woman at an outing talking to each other.,a young couple talks to each other on a trip.,a young yoke blab to each other on a trip.
198,neutral,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother while walking in the park.,a man and a woman talk to eachother while walking in commons the park.
199,neutral,a man and a woman at an outing talking to each other.,a man and woman talk while on a date.,a gentleman and woman talk while on a date.
200,contradiction,a man and a woman at an outing talking to each other.,a couple chat at home.,a twosome chat at home.
201,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there are two girls in this picture.,there are 2 girls in this picture.
202,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other ready to fight,two girls fight facing each other ready to are
203,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other,two girls are each other
204,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking at each other,two girls other at each looking
205,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",the two girls are friends.,the two girls ally are friends.
206,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, preparing to fight to the death.","two fille facing each other, preparing to engagement to the death."
207,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are standing up facing each other.,two represent girls are standing up facing each other.
208,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking in opposite directions.,two girlfriend looking in opposite directions.
209,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there is one girl and one boy.,there is one son girl and one boy.
210,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls standing next to eachother,two girls next to eachother
211,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two boys face away from each other,face boys two away from each other
212,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, comparing outfits.","two girls facing each, comparing outfits."
213,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other.,two girls are veneer each other.
214,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking together.,girls are walking together.
215,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl is cold,the miss is cold
216,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls struggle to fill out tax forms.,two girls struggle task to fill out tax forms.
217,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman with unusual hair is looking back with her friend next to her.,a woman with unusual hair is looking back live with her friend next to her.
218,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl with pink streaked hair is wearing high heels,the girl pink streaked hair is wearing high 
219,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman is looking straight into the camera while her friend looks towards her.,a woman is looking straight while the camera into her friend looks towards her.
220,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a boy sits on a log and fishes.,a boy sits on a log fishes.
221,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the boy has pink streaked hair,the boy has knock streaked hair
222,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking and one of them checks for something behind them.,two girls are walking and one of them hinderance for something buns them.
223,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girls hear is pink,the is hear girls pink
224,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two people are moving in the same direction as each other,two people other moving in the same direction as each are
225,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two friends are walking down the street and are being followed by someone.,two friends are walking down the street downward and are being followed by someone.
226,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the two girls are sisters,the two are sisters
227,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking back from school.,girls are walking back from school.
228,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a girl with blue hair is walking by herself down a dark street.,a missy with aristocratic hair is walking by herself down a dark street.
229,contradiction,two young girls wearing goth clothes.,two boys wearing swimsuits,boys wearing swimsuits
230,entailment,two young girls wearing goth clothes.,two girls with similar styles,two girls with similar vogue
231,neutral,two young girls wearing goth clothes.,two young girls wearing all black,two young girls wearing all blacken
232,entailment,two girls walking down the street.,two girls are talking a walk.,two girls are talking a.
233,contradiction,two girls walking down the street.,two people are eating in a restraunt.,two are eating in a restraunt.
234,neutral,two girls walking down the street.,two people are walking to stores.,two people are walking to comprise stores.
235,neutral,two girls wearing goth trendy clothing while one looks back at the camera.,two girls in goth clothing are smiling.,two II girls in goth clothing are smiling.
236,entailment,two girls wearing goth trendy clothing while one looks back at the camera.,there are two goth girls.,there are two peasant girls.
237,contradiction,two girls wearing goth trendy clothing while one looks back at the camera.,two men dressed as clowns are performing for an audience.,two men are as clowns dressed performing for an audience.
238,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, each wearing different outfits.","two girls different each other, each wearing facing outfits."
239,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",one boy is alone in a room.,one boy is way alone in a room.
240,neutral,a girl lays in the grass in front of the leaning tower of pisa in italy.,a girl lays in the grass on her first trip to italy,a in lays girl the grass on her first trip to italy
241,neutral,a woman enjoying a meal at the leaning tower of pisa.,a women is eating lunch at the leaning tower of pisa.,a women is feed lunch at the inclination tower of pisa.
242,contradiction,a woman enjoying a meal at the leaning tower of pisa.,a women pushed the leaning tower of pisa until it stood straight.,a women stood the leaning tower of pisa until it pushed straight.
243,entailment,a woman enjoying a meal at the leaning tower of pisa.,the leaning tower of pisa has a restaurant.,the leaning tower of pisa has a eatery.
