,label,original,hypothesis,modified
78,entailment,the little girl is wearing a floating device in the water.,the little girl floats across the water,the little girl floats across the water
79,entailment,the little girl is wearing a floating device in the water.,little girl floating in water,little girl floating in water
80,neutral,the little girl is wearing a floating device in the water.,little girl wearing a disney floating device,little girl wearing a disney floating device
81,entailment,the little girl is wearing a floating device in the water.,a little girl in water.,a little girl in water.
82,neutral,the little girl is wearing a floating device in the water.,a little girl is swimming in a pool,a little girl is swimming in a pool
83,entailment,a girl floating wearing a life vest.,a girl floating wearing a life vest.,a girl floating wearing a life vest.
84,contradiction,a girl floating wearing a life vest.,a girl is swimming without a vest.,a girl is swimming without a vest.
85,neutral,a girl floating wearing a life vest.,a girl was just in a boating accident.,a girl was just in a boating accident.
86,entailment,a girl wearing a life vest floats in water.,a girl is outside in the water,a girl is outside in the water
87,neutral,the little girl is wearing a floating device in the water.,the child is swimming in a pool.,the child is swimming in a pool.
88,neutral,the little girl is wearing a floating device in the water.,a little girl in water learning to swim.,a little girl in water learning to swim.
89,neutral,the little girl is wearing a floating device in the water.,a young girl floats in a pool.,a young girl floats in a pool.
90,contradiction,the little girl is wearing a floating device in the water.,a little girl learning to ride a bike.,a little girl learning to ride a bike.
91,entailment,the little girl is wearing a floating device in the water.,a little girl is in some water.,a little girl is in some water.
92,contradiction,the little girl is wearing a floating device in the water.,a girl has trouble staying afloat in the park pool,a girl has trouble staying afloat in the park pool
93,contradiction,the little girl is wearing a floating device in the water.,a little girl plays hopscotch.,a little girl plays hopscotch.
94,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is standing on a dock.,a young girl is standing on a dock.
95,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl is being taught to swim in a lake.,a girl is being taught to swim in a lake.
96,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a girl walks on the beach by some seagulls.,a girl walks on the beach by some seagulls.
97,entailment,a young girl wearing a bulky red life jacket floating in a lake.,the girl is in the water.,the girl is in the water.
98,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is floating by a boat.,a young girl is floating by a boat.
99,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is paddling in a boat on a lake.,a young girl is paddling in a boat on a lake.
100,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a scared girl approaches water,a scared girl approaches water
101,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,the girl is watersking.,the girl is watersking.
102,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is in the water.,a young girl is in the water.
103,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a child wears a life jacket,a child wears a life jacket
104,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a little girl is using a life jacket to stay afloat in the water.,a little girl is using a life jacket to stay afloat in the water.
105,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a girl wears a life jacket.,a girl wears a life jacket.
106,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a boy waits in a boat,a boy waits in a boat
107,neutral,a young girl wearing a bulky red life jacket floating in a lake.,the girl is getting a suntan in the lake.,the girl is getting a suntan in the lake.
108,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl floats in the lake by a boat.,a girl floats in the lake by a boat.
109,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her front.,a young girl floats on her front.
110,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl is riding a bike.,a young girl is riding a bike.
111,neutral,the man is aiming to shoot something while his dog watches.,the man is hunting,the man is hunting
112,entailment,the man is aiming to shoot something while his dog watches.,the man is aiming at something,the man is aiming at something
113,neutral,a man aiming a rifle with a dog standing beside him.,an old man shoots a black gun at a deer while his golden retriever sits by his side.,an old man shoots a black gun at a deer while his golden retriever sits by his side.
114,entailment,a man aiming a rifle with a dog standing beside him.,a guy shooting a gun near an animal.,a guy shooting a gun near an animal.
115,contradiction,a man aiming a rifle with a dog standing beside him.,two kids play catch in the street.,two kids play catch in the street.
116,neutral,man aiming a rifle with his dog at his side.,the man is hunting for ducks with his dog.,the man is hunting for ducks with his dog.
117,contradiction,man aiming a rifle with his dog at his side.,the man is asleep with his dog.,the man is asleep with his dog.
118,entailment,man aiming a rifle with his dog at his side.,the male has an animal next to him.,the male has an animal next to him.
119,contradiction,a man shoots a rifle while a dog looks on.,the man is throwing a ball to his dog in the park.,the man is throwing a ball to his dog in the park.
120,neutral,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hound dog attempts to chase the roused rabbits.,a man shoots his rifle while his hound dog attempts to chase the roused rabbits.
121,contradiction,a man shoots a rifle while a dog looks on.,a man shoots his rifle at a target while his dog sits lazily with nothing to do.,a man shoots his rifle at a target while his dog sits lazily with nothing to do.
122,neutral,a man shoots a rifle while a dog looks on.,the man is outside hunting.,the man is outside hunting.
123,neutral,a man shoots a rifle while a dog looks on.,a dog runs away from a man shooting a rifle.,a dog runs away from a man shooting a rifle.
124,neutral,a man shoots a rifle while a dog looks on.,the man is shooting ducks by the water.,the man is shooting ducks by the water.
125,contradiction,a man shoots a rifle while a dog looks on.,the man and his hunting cat pursue prey,the man and his hunting cat pursue prey
126,contradiction,a man shoots a rifle while a dog looks on.,the man does not believe that guns should be used.,the man doesn't believe that guns should be used.
127,entailment,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hunting dogs waits to retrieve.,a man shoots his rifle while his hunting dogs waits to retrieve.
128,entailment,a man shoots a rifle while a dog looks on.,the man is aiming his rifle at something.,the man is aiming his rifle at something.
129,entailment,a man shoots a rifle while a dog looks on.,a man is pictured with his dog,a man is pictured with his dog
130,entailment,a man shoots a rifle while a dog looks on.,the man has a rifle.,the man has a rifle.
131,contradiction,a man shoots a rifle while a dog looks on.,a man plays a game of monopoly with his family.,a man plays a game of monopoly with his family.
132,entailment,a man shoots a rifle while a dog looks on.,a man wields a gun.,a man wields a gun.
133,neutral,a man shoots a rifle while a dog looks on.,a man hunts with his dog,a man hunts with his dog
134,neutral,"a man, a gun, and a dog.",a hunter is posing with his dog.,a hunter is posing with his dog.
135,entailment,"a man, a gun, and a dog.","there are three objects in the photo, two are animate.","there are one objects in the photo, two are animate."
136,contradiction,"a man, a gun, and a dog.",the dog is pointing a gun at the man.,the dog is pointing a gun at the man.
137,contradiction,the man is aiming to shoot something while his dog watches.,the man is looking through binoculars,the man is looking through binoculars
138,neutral,a man and a woman at an outing talking to each other.,a man and a woman are discussing global warming.,a man and a woman are discussing global warming.
139,contradiction,a man and a woman at an outing talking to each other.,two women are kickboxing,two women are kickboxing
140,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a crowd is gathered at an event, but are watching a man and woman arguing.","a crowd is gathered at an event, but are watching a man and woman arguing."
141,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people gathers together,a group of people gathers together
142,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the woman is chatting with someone.,the woman is chatting with someone.
143,contradiction,a man and a woman at an outing talking to each other.,the eagle soars above the mountain top.,the eagle soars above the mountain top.
144,entailment,a man and a woman at an outing talking to each other.,two people talk with each other on an outing.,two people talk with each other on an outing.
145,entailment,a man and a woman at an outing talking to each other.,a man and woman are talking,a man and woman are talking
146,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a group of people are at an event where a woman is talking to a man, and they are wearing different types of shirts.","a group of people are at an event where a woman is talking to a man, and they're wearing different types of shirts."
147,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a large crowd is gathered to watch a music concert.,a large crowd is gathered to watch a music concert.
148,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there are many people convening for an event.,there are many people convening for an event.
149,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people are watching two monkeys dressed like a man and a woman pretend to dance.,a group of people are watching two monkeys dressed like a man and a woman pretend to dance.
150,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,people are talking at an event.,people are talking at an event.
151,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the man in the brown t-shirt is sleeping.,the man in the brown t-shirt is sleeping.
152,entailment,a man and a woman at an outing talking to each other.,people are talking to each other.,people are talking to each other.
153,entailment,a couple are speaking at an event on 09-09-2007.,romantic partners speak at an event.,romantic partners speak at an event.
154,entailment,a couple are speaking at an event on 09-09-2007.,two people speak at an event.,two people speak at an event.
155,neutral,a man and a woman at an outing talking to each other.,a couple is talking,a couple is talking
156,entailment,a man and a woman at an outing talking to each other.,a man and woman talking to eachother outside.,a man and woman talking to eachother outside.
157,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a women and a man are flirting at an event.,a women and a man are flirting at an event.
158,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the crowd is gathered outdoors.,the crowd is gathered outdoors.
159,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there is a large crowd and none of the people are women.,there's a large crowd and none of the people are women.
160,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a crowd gathers to hear the concert,a crowd gathers to hear the concert
161,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a dog is talking to a person at a event.,a dog is talking to a person at a event.
162,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a man and a woman stand alone in the street,a man and a woman stand alone in the street
163,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is drinking from a water bottle.,a man is drinking from a water bottle.
164,entailment,a man and a woman at an outing talking to each other.,two people are conversing.,two people are conversing.
165,contradiction,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother on their couch.,a man and a woman talk to eachother on their couch.
166,contradiction,a man and a woman at an outing talking to each other.,the man and the woman are traveling by train to new york.,the man and the woman are traveling by train to new york.
167,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman.,a man is talking to a woman.
168,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people talk together at a concert,two people talk together at a concert
169,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture are at an indie folk festival.,the people in the picture are at an indie folk festival.
170,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman,a man is talking to a woman
171,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture have never been to any kind of concert.,the people in the picture have never been to any kind of concert.
172,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to his wife.,a man is talking to his wife.
173,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman at an outdoor concert.,a man is talking to a woman at an outdoor concert.
174,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two men are talking at concert.,two men are talking at concert.
175,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit together talking in a restaurant,two people sit together talking in a restaurant
176,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is strangling a woman at a concert.,a man is strangling a woman at a concert.
177,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman he met at the festival.,a man is flirting with a woman he met at the festival.
178,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit down next to each other as they talk at a concert,two people sit down next to each other as they talk at a concert
179,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman at a concert.,a man is flirting with a woman at a concert.
180,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,this picture shows people at a concert.,this picture shows people at a concert.
181,entailment,a couple are speaking at an event on 09-09-2007.,the couple make a few remarks at the event.,the couple make a few remarks at the event.
182,contradiction,a couple are speaking at an event on 09-09-2007.,a man addresses the audience in september of 2009.,a man addresses the audience in september of 1549.
183,entailment,a couple are speaking at an event on 09-09-2007.,two people address the audience in september of 2007.,two people address the audience in september of 3011.
184,neutral,a couple are speaking at an event on 09-09-2007.,a husband and wife address the audience in september of 2007.,a husband and wife address the audience in september of 1147.
185,entailment,a couple are speaking at an event on 09-09-2007.,two people together are speaking at the event on 09-09-2007,two people together are speaking at the event on 09-09-2007
186,neutral,a couple are speaking at an event on 09-09-2007.,a couple speaks at a couples therapy event.,a couple speaks at a couples therapy event.
187,contradiction,a couple are speaking at an event on 09-09-2007.,two people together weren't speaking at all at the event on 09-09-2007,two people together were not speaking at all at the event on 09-09-2007
188,neutral,a couple are speaking at an event on 09-09-2007.,two people together are speaking loudly at the event on 09-09-2007,two people together are speaking loudly at the event on 09-09-2007
189,neutral,a couple are speaking at an event on 09-09-2007.,a man and a woman are speaking at an event.,a man and a woman are speaking at an event.
190,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking by himself in the bathroom mirror.,a man is speaking by himself in the bathroom mirror.
191,contradiction,a couple are speaking at an event on 09-09-2007.,two single people speak at an event.,two single people speak at an event.
192,neutral,a couple are speaking at an event on 09-09-2007.,the individuals are thanking everyone for attending the event.,the individuals are thanking everyone for attending the event.
193,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking about his political campaign.,a man is speaking about his political campaign.
194,neutral,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is taking tickets.,the man is taking tickets.
195,entailment,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is wearing a brown shirt.,the man is wearing a brown shirt.
196,contradiction,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is cooking dinner.,the man is cooking dinner.
197,neutral,a man and a woman at an outing talking to each other.,a young couple talks to each other on a trip.,a young couple talks to each other on a trip.
198,neutral,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother while walking in the park.,a man and a woman talk to eachother while walking in the park.
199,neutral,a man and a woman at an outing talking to each other.,a man and woman talk while on a date.,a man and woman talk while on a date.
200,contradiction,a man and a woman at an outing talking to each other.,a couple chat at home.,a couple chat at home.
201,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there are two girls in this picture.,there are two girls in this picture.
202,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other ready to fight,two girls are facing each other ready to fight
203,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other,two girls are facing each other
204,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking at each other,two girls looking at each other
205,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",the two girls are friends.,the two girls are friends.
206,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, preparing to fight to the death.","two girls facing each other, preparing to fight to the death."
207,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are standing up facing each other.,two girls are standing up facing each other.
208,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking in opposite directions.,two girls looking in opposite directions.
209,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there is one girl and one boy.,there is one girl and two boy.
210,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls standing next to eachother,two girls standing next to eachother
211,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two boys face away from each other,two boys face away from each other
212,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, comparing outfits.","two girls facing each other, comparing outfits."
213,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other.,two girls are facing each other.
214,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking together.,two girls are walking together.
215,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl is cold,the girl is cold
216,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls struggle to fill out tax forms.,two girls struggle to fill out tax forms.
217,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman with unusual hair is looking back with her friend next to her.,a woman with unusual hair is looking back with her friend next to her.
218,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl with pink streaked hair is wearing high heels,the girl with pink streaked hair is wearing high heels
219,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman is looking straight into the camera while her friend looks towards her.,a woman is looking straight into the camera while her friend looks towards her.
220,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a boy sits on a log and fishes.,a boy sits on a log and fishes.
221,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the boy has pink streaked hair,the boy has pink streaked hair
222,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking and one of them checks for something behind them.,two girls are walking and two of them checks for something behind them.
223,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girls hear is pink,the girls hear is pink
224,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two people are moving in the same direction as each other,two people are moving in the same direction as each other
225,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two friends are walking down the street and are being followed by someone.,two friends are walking down the street and are being followed by someone.
226,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the two girls are sisters,the two girls are sisters
227,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking back from school.,two girls are walking back from school.
228,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a girl with blue hair is walking by herself down a dark street.,a girl with blue hair is walking by herself down a dark street.
229,contradiction,two young girls wearing goth clothes.,two boys wearing swimsuits,two boys wearing swimsuits
230,entailment,two young girls wearing goth clothes.,two girls with similar styles,two girls with similar styles
231,neutral,two young girls wearing goth clothes.,two young girls wearing all black,two young girls wearing all black
232,entailment,two girls walking down the street.,two girls are talking a walk.,two girls are talking a walk.
233,contradiction,two girls walking down the street.,two people are eating in a restraunt.,two people are eating in a restraunt.
234,neutral,two girls walking down the street.,two people are walking to stores.,two people are walking to stores.
235,neutral,two girls wearing goth trendy clothing while one looks back at the camera.,two girls in goth clothing are smiling.,two girls in goth clothing are smiling.
236,entailment,two girls wearing goth trendy clothing while one looks back at the camera.,there are two goth girls.,there are two goth girls.
237,contradiction,two girls wearing goth trendy clothing while one looks back at the camera.,two men dressed as clowns are performing for an audience.,two men dressed as clowns are performing for an audience.
238,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, each wearing different outfits.","two girls facing each other, each wearing different outfits."
239,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",one boy is alone in a room.,two boy is alone in a room.
240,neutral,a girl lays in the grass in front of the leaning tower of pisa in italy.,a girl lays in the grass on her first trip to italy,a girl lays in the grass on her first trip to Bahrain
241,neutral,a woman enjoying a meal at the leaning tower of pisa.,a women is eating lunch at the leaning tower of pisa.,a women is eating lunch at the leaning tower of pisa.
242,contradiction,a woman enjoying a meal at the leaning tower of pisa.,a women pushed the leaning tower of pisa until it stood straight.,a women pushed the leaning tower of pisa until it stood straight.
243,entailment,a woman enjoying a meal at the leaning tower of pisa.,the leaning tower of pisa has a restaurant.,the leaning tower of pisa has a restaurant.
244,neutral,a woman is laying in the grass eating something outside the leaning tower of pizza.,a tall human is laying.,a tall human is laying.
