,Unnamed: 0,label,original,hypothesis,modified
51,51,neutral,a person drives in a red car.,a woman is driving to work.,a woman is driving to get work.
52,52,entailment,a person drives in a red car.,a person is in a moving car.,a white person is in a moving police car.
53,53,neutral,"a person in a red car, with a bridge in the background.",a driver drives slowly on a bridge.,a police driver drives slowly on a railway bridge.
54,54,contradiction,"a person in a red car, with a bridge in the background.",a driver on a bridge is lost.,a police driver on a car bridge is lost.
55,55,entailment,"a person in a red car, with a bridge in the background.",a driver in a red car on a bridge.,a driver in a red light car on a bridge.
56,56,contradiction,the lady in the red car is crossing the bridge.,nobody is driving.,nobody is driving.
57,57,entailment,the lady in the red car is crossing the bridge.,someone is crossing.,means someone is crossing.
58,58,neutral,a person waits inside a red compact car.,someone sitting inside of their car.,Like someone sitting inside of their second car.
59,59,contradiction,a person waits inside a red compact car.,a person driving on the freeway.,a second person driving on the freeway.
60,60,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl can't swim,the middle girl can't swim
61,61,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl happily floats on her back.,a young Indian girl happily floats on her horse back.
62,62,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl floats down the river.,a young white girl floats down the green river.
63,63,neutral,a girl wearing a life vest floats in water.,a little girl enjoys her summers at the lake,a little white girl enjoys her summers at the blue lake
64,64,contradiction,a girl wearing a life vest floats in water.,a girl swims laps in the school pool,a black girl swims two laps in the school swimming pool
65,65,entailment,a young girl floats on her back in water and peers over her life jacket.,a girl floats in the water with a life jacket.,a girl floats in the blue water with a life jacket.
66,66,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her back.,a young Indian girl floats on her left back.
67,67,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is floating,the black girl is floating
68,68,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is on the dry land,the white girl is on the dry land
69,69,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is watching tv in her favorite chair.,the little girl is watching tv in her favorite chair.
70,70,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is above the water.,the white girl is above the white water.
71,71,contradiction,a young girl floats on her back in water and peers over her life jacket.,the life jacket is trying to strangle the girl.,the white life style jacket is trying to strangle the little girl.
72,72,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is looking over her life jacket to see if anyone is around.,the little girl is looking over her black life class jacket to see if either anyone is around.
73,73,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl is in the water.,a young black girl is in the blue water.
74,74,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is swimming in the ocean.,the white girl is swimming in the blue ocean.
75,75,contradiction,the little girl is wearing a floating device in the water.,man swimming in water,man swimming in salt water
76,76,contradiction,the little girl is wearing a floating device in the water.,the child is rolling in the grass.,the child is rolling in the grass.
77,77,entailment,the little girl is wearing a floating device in the water.,the young child is using something to float in the water.,the young child is using like something to float in the dark water.
78,78,entailment,the little girl is wearing a floating device in the water.,the little girl floats across the water,the little girl floats across the blue water
79,79,entailment,the little girl is wearing a floating device in the water.,little girl floating in water,little girl floating in blue water
80,80,neutral,the little girl is wearing a floating device in the water.,little girl wearing a disney floating device,little black girl wearing a disney floating electronic device
81,81,entailment,the little girl is wearing a floating device in the water.,a little girl in water.,a little white girl in blue water.
82,82,neutral,the little girl is wearing a floating device in the water.,a little girl is swimming in a pool,a little black girl is swimming in a water pool
83,83,entailment,a girl floating wearing a life vest.,a girl floating wearing a life vest.,a small girl floating wearing a white life type vest.
84,84,contradiction,a girl floating wearing a life vest.,a girl is swimming without a vest.,a white girl is swimming without a black vest.
85,85,neutral,a girl floating wearing a life vest.,a girl was just in a boating accident.,a black girl was just in a big boating accident.
86,86,entailment,a girl wearing a life vest floats in water.,a girl is outside in the water,a girl is outside in the spring water
87,87,neutral,the little girl is wearing a floating device in the water.,the child is swimming in a pool.,the child is swimming in a diving pool.
88,88,neutral,the little girl is wearing a floating device in the water.,a little girl in water learning to swim.,a little girl in blue water learning to swim.
89,89,neutral,the little girl is wearing a floating device in the water.,a young girl floats in a pool.,a young Chinese girl floats in a water pool.
90,90,contradiction,the little girl is wearing a floating device in the water.,a little girl learning to ride a bike.,a little white girl learning to ride a small bike.
91,91,entailment,the little girl is wearing a floating device in the water.,a little girl is in some water.,a little white girl is in some dark water.
92,92,contradiction,the little girl is wearing a floating device in the water.,a girl has trouble staying afloat in the park pool,a white girl has trouble staying afloat in the park water pool
93,93,contradiction,the little girl is wearing a floating device in the water.,a little girl plays hopscotch.,a little white girl plays hopscotch.
94,94,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is standing on a dock.,a young white girl is standing on a loading dock.
95,95,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl is being taught to swim in a lake.,a black girl is being taught to swim in a water lake.
96,96,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a girl walks on the beach by some seagulls.,a white girl walks on the beach by some seagulls.
97,97,entailment,a young girl wearing a bulky red life jacket floating in a lake.,the girl is in the water.,the white girl is in the blue water.
98,98,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is floating by a boat.,a young black girl is floating by a white boat.
99,99,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is paddling in a boat on a lake.,a young black girl is paddling in a white boat on a small lake.
100,100,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a scared girl approaches water,a scared girl approaches blue water
101,101,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,the girl is watersking.,the blue girl is watersking.
102,102,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is in the water.,a young black girl is in the blue water.
103,103,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a child wears a life jacket,a child wears a black life style jacket
104,104,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a little girl is using a life jacket to stay afloat in the water.,a little green girl is using a white life type jacket to stay afloat in the cold water.
105,105,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a girl wears a life jacket.,a little girl wears a black life type jacket.
106,106,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a boy waits in a boat,a boy waits in a blue boat
107,107,neutral,a young girl wearing a bulky red life jacket floating in a lake.,the girl is getting a suntan in the lake.,the white girl is getting a suntan in the blue lake.
108,108,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl floats in the lake by a boat.,a little girl floats in the blue lake by a white boat.
109,109,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her front.,a young Indian girl floats on her left front.
110,110,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl is riding a bike.,a young black girl is riding a mountain bike.
111,111,neutral,the man is aiming to shoot something while his dog watches.,the man is hunting,the middle man is hunting
112,112,entailment,the man is aiming to shoot something while his dog watches.,the man is aiming at something,the right man is aiming at something
113,113,neutral,a man aiming a rifle with a dog standing beside him.,an old man shoots a black gun at a deer while his golden retriever sits by his side.,an old black man shoots a black gun at a deer while his golden retriever sits by his side.
114,114,entailment,a man aiming a rifle with a dog standing beside him.,a guy shooting a gun near an animal.,a big guy shooting a hand gun near an African animal.
115,115,contradiction,a man aiming a rifle with a dog standing beside him.,two kids play catch in the street.,two kids play football catch in the street.
116,116,neutral,man aiming a rifle with his dog at his side.,the man is hunting for ducks with his dog.,the big man is hunting for ducks with his dog.
117,117,contradiction,man aiming a rifle with his dog at his side.,the man is asleep with his dog.,the black man is asleep with his dog.
118,118,entailment,man aiming a rifle with his dog at his side.,the male has an animal next to him.,the second male has an imaginary animal next to him.
119,119,contradiction,a man shoots a rifle while a dog looks on.,the man is throwing a ball to his dog in the park.,the young man is throwing a ball to his little dog in the park.
120,120,neutral,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hound dog attempts to chase the roused rabbits.,a black man shoots his rifle while his houndless dog attempts to chase the roused rabbits.
121,121,contradiction,a man shoots a rifle while a dog looks on.,a man shoots his rifle at a target while his dog sits lazily with nothing to do.,a black man shoots his rifle at a target while his beloved dog sits lazily with nothing to do.
122,122,neutral,a man shoots a rifle while a dog looks on.,the man is outside hunting.,the black man is outside hunting.
123,123,neutral,a man shoots a rifle while a dog looks on.,a dog runs away from a man shooting a rifle.,a black dog runs away from a standing man shooting a rifle.
124,124,neutral,a man shoots a rifle while a dog looks on.,the man is shooting ducks by the water.,the second man is shooting ducks by the water.
125,125,contradiction,a man shoots a rifle while a dog looks on.,the man and his hunting cat pursue prey,the middle man and his hunting cat pursue prey
126,126,contradiction,a man shoots a rifle while a dog looks on.,the man does not believe that guns should be used.,the black man does not believe that guns should be used.
127,127,entailment,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hunting dogs waits to retrieve.,a black man shoots his rifle while his hunting dogs waits to retrieve.
128,128,entailment,a man shoots a rifle while a dog looks on.,the man is aiming his rifle at something.,the black man is aiming his rifle at something.
129,129,entailment,a man shoots a rifle while a dog looks on.,a man is pictured with his dog,a black man is pictured with his right dog
130,130,entailment,a man shoots a rifle while a dog looks on.,the man has a rifle.,the middle man has a rifle.
131,131,contradiction,a man shoots a rifle while a dog looks on.,a man plays a game of monopoly with his family.,a black man plays a game of monopoly with his family.
132,132,entailment,a man shoots a rifle while a dog looks on.,a man wields a gun.,a black man wields a gun.
133,133,neutral,a man shoots a rifle while a dog looks on.,a man hunts with his dog,a common man hunts with his hunting dog
134,134,neutral,"a man, a gun, and a dog.",a hunter is posing with his dog.,a hunter is posing with his black dog.
135,135,entailment,"a man, a gun, and a dog.","there are three objects in the photo, two are animate.","there are three colored objects in the color photo, two are animate."
136,136,contradiction,"a man, a gun, and a dog.",the dog is pointing a gun at the man.,the black dog is pointing a gun at the man.
137,137,contradiction,the man is aiming to shoot something while his dog watches.,the man is looking through binoculars,the second man is looking through binoculars
138,138,neutral,a man and a woman at an outing talking to each other.,a man and a woman are discussing global warming.,a black man and a black woman are discussing global warming.
139,139,contradiction,a man and a woman at an outing talking to each other.,two women are kickboxing,two strong women are kickboxing
140,140,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a crowd is gathered at an event, but are watching a man and woman arguing.","a crowd is gathered at an event, but are watching a large man and another woman arguing."
141,141,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people gathers together,a group of three people gathers together
142,142,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the woman is chatting with someone.,the white woman is chatting with someone.
143,143,contradiction,a man and a woman at an outing talking to each other.,the eagle soars above the mountain top.,the eagle soars above the mountain tree top.
144,144,entailment,a man and a woman at an outing talking to each other.,two people talk with each other on an outing.,two different people talk with each other on an outing.
145,145,entailment,a man and a woman at an outing talking to each other.,a man and woman are talking,a sign man and another woman are talking
146,146,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a group of people are at an event where a woman is talking to a man, and they are wearing different types of shirts.","a group of three people are at an event where a different woman is talking to a man, and they are wearing different types of shirts."
147,147,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a large crowd is gathered to watch a music concert.,a large local crowd is gathered to watch a classical music concert.
148,148,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there are many people convening for an event.,there are many different people convening for an event.
149,149,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people are watching two monkeys dressed like a man and a woman pretend to dance.,a group of young people are watching two monkeys dressed like a human man and a white woman pretend to dance.
150,150,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,people are talking at an event.,The people are talking at an election event.
151,151,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the man in the brown t-shirt is sleeping.,the black man in the brown t- shirt is sleeping.
152,152,entailment,a man and a woman at an outing talking to each other.,people are talking to each other.,The people are talking to each other.
153,153,entailment,a couple are speaking at an event on 09-09-2007.,romantic partners speak at an event.,romantic doubles partners speak at an important event.
154,154,entailment,a couple are speaking at an event on 09-09-2007.,two people speak at an event.,two different people speak at an event.
155,155,neutral,a man and a woman at an outing talking to each other.,a couple is talking,a black couple is talking
156,156,entailment,a man and a woman at an outing talking to each other.,a man and woman talking to eachother outside.,a woman man and another woman talking to eachother outside.
157,157,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a women and a man are flirting at an event.,a women and a female man are flirting at an event.
158,158,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the crowd is gathered outdoors.,the second crowd is gathered outdoors.
159,159,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,there is a large crowd and none of the people are women.,there is a large crowd and none of the women people are women.
160,160,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a crowd gathers to hear the concert,a large crowd gathers to hear the concert
161,161,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a dog is talking to a person at a event.,a dog is talking to a human person at a social event.
162,162,contradiction,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a man and a woman stand alone in the street,a standing man and a black woman stand alone in the street
163,163,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is drinking from a water bottle.,a black man is drinking from a water bottle.
164,164,entailment,a man and a woman at an outing talking to each other.,two people are conversing.,two different people are conversing.
165,165,contradiction,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother on their couch.,a woman man and a black woman talk to eachother on their couch.
166,166,contradiction,a man and a woman at an outing talking to each other.,the man and the woman are traveling by train to new york.,the old man and the white woman are traveling by train to new york.
167,167,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman.,a woman man is talking to a woman.
168,168,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people talk together at a concert,two different people talk together at a concert
169,169,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture are at an indie folk festival.,the three people in the picture are at an indie folk festival.
170,170,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman,a woman man is talking to a black woman
171,171,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,the people in the picture have never been to any kind of concert.,the three people in the picture have never been to any kind of concert.
172,172,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to his wife.,a black man is talking to his wife.
173,173,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is talking to a woman at an outdoor concert.,a black man is talking to a black woman at an outdoor concert.
174,174,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two men are talking at concert.,two black men are talking at concert.
175,175,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit together talking in a restaurant,two different people sit together talking in a restaurant
176,176,contradiction,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is strangling a woman at a concert.,a black man is strangling a young woman at a concert.
177,177,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman he met at the festival.,a young man is flirting with a young woman he met at the festival.
178,178,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,two people sit down next to each other as they talk at a concert,two different people sit down next to each other as they talk at a concert
179,179,neutral,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,a man is flirting with a woman at a concert.,a black man is flirting with a black woman at a concert.
180,180,entailment,a man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,this picture shows people at a concert.,this picture shows like people at a concert.
181,181,entailment,a couple are speaking at an event on 09-09-2007.,the couple make a few remarks at the event.,the second couple make a few negative remarks at the special event.
182,182,contradiction,a couple are speaking at an event on 09-09-2007.,a man addresses the audience in september of 2009.,a black man addresses the audience in september of 2009.
183,183,entailment,a couple are speaking at an event on 09-09-2007.,two people address the audience in september of 2007.,two different people address the audience in september of 2007.
184,184,neutral,a couple are speaking at an event on 09-09-2007.,a husband and wife address the audience in september of 2007.,a husband and another wife address the viewing audience in september of 2007.
185,185,entailment,a couple are speaking at an event on 09-09-2007.,two people together are speaking at the event on 09-09-2007,two different people together are speaking at the event on 09- 09- 2007
186,186,neutral,a couple are speaking at an event on 09-09-2007.,a couple speaks at a couples therapy event.,a female couple speaks at a special couples therapy training event.
187,187,contradiction,a couple are speaking at an event on 09-09-2007.,two people together weren't speaking at all at the event on 09-09-2007,two different people together weren't speaking at all at the event on 09- 09- 2007
188,188,neutral,a couple are speaking at an event on 09-09-2007.,two people together are speaking loudly at the event on 09-09-2007,two two people together are speaking loudly at the event on 09- 09- 2007
189,189,neutral,a couple are speaking at an event on 09-09-2007.,a man and a woman are speaking at an event.,a different man and a black woman are speaking at an event.
190,190,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking by himself in the bathroom mirror.,a black man is speaking by himself in the bathroom mirror.
191,191,contradiction,a couple are speaking at an event on 09-09-2007.,two single people speak at an event.,two single language people speak at an event.
192,192,neutral,a couple are speaking at an event on 09-09-2007.,the individuals are thanking everyone for attending the event.,the three individuals are thanking everyone for attending the special event.
193,193,contradiction,a couple are speaking at an event on 09-09-2007.,a man is speaking about his political campaign.,a young man is speaking about his political campaign.
194,194,neutral,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is taking tickets.,the middle man is taking tickets.
195,195,entailment,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is wearing a brown shirt.,the middle man is wearing a brown shirt.
196,196,contradiction,a man in a brown shirt standing in the crowd at an outdoor concert.,the man is cooking dinner.,the second man is cooking dinner.
197,197,neutral,a man and a woman at an outing talking to each other.,a young couple talks to each other on a trip.,a young Chinese couple talks to each other on a train trip.
198,198,neutral,a man and a woman at an outing talking to each other.,a man and a woman talk to eachother while walking in the park.,a woman man and a black woman talk to eachother while walking in the park.
199,199,neutral,a man and a woman at an outing talking to each other.,a man and woman talk while on a date.,a different man and another woman talk while on a date.
200,200,contradiction,a man and a woman at an outing talking to each other.,a couple chat at home.,a married couple chat at home.
201,201,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there are two girls in this picture.,there are two white girls in this color picture.
202,202,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other ready to fight,two different girls are facing each other ready to fight
203,203,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other,two different girls are facing each other
204,204,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking at each other,two different girls looking at each other
205,205,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",the two girls are friends.,the two girl girls are friends.
206,206,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, preparing to fight to the death.","two black girls facing each other, preparing to fight to the death."
207,207,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are standing up facing each other.,two different girls are standing up facing each other.
208,208,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls looking in opposite directions.,two black girls looking in opposite different directions.
209,209,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",there is one girl and one boy.,there is one female girl and one boy.
210,210,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls standing next to eachother,two black girls standing next to another eachother
211,211,contradiction,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two boys face away from each other,two boys face away from each other
212,212,neutral,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.","two girls facing each other, comparing outfits.","two different girls facing each other, comparing different outfits."
213,213,entailment,"two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.",two girls are facing each other.,two white girls are facing each other.
214,214,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking together.,two little girls are walking together.
215,215,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl is cold,the white girl is cold
216,216,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls struggle to fill out tax forms.,two black girls struggle to fill out tax law forms.
217,217,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman with unusual hair is looking back with her friend next to her.,a tall woman with unusual facial hair is looking back with her friend next to her.
218,218,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girl with pink streaked hair is wearing high heels,the little girl with pink streaked blonde hair is wearing high heels
219,219,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a woman is looking straight into the camera while her friend looks towards her.,a white woman is looking straight into the camera while her friend looks towards her.
220,220,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,a boy sits on a log and fishes.,a boy sits on a log and fishes.
221,221,contradiction,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the boy has pink streaked hair,the boy has pink streaked white hair
222,222,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking and one of them checks for something behind them.,two black girls are walking and one of them checks for moving something behind them.
223,223,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the girls hear is pink,the first girls hear is pink
224,224,entailment,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two people are moving in the same direction as each other,two different people are moving in the same horizontal direction as each other
225,225,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two friends are walking down the street and are being followed by someone.,two friends are walking down the middle street and are being followed by another someone.
226,226,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,the two girls are sisters,the two women girls are sisters
227,227,neutral,a girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,two girls are walking back from school.,two little girls are walking back from school.
