,image_id,original,modified
103,"20    143931
Name: id, dtype: int64",A tour bus with advertisement on the side of it,A tour bus with advertisement on the side of downtown it
104,"20    143931
Name: id, dtype: int64",a large campaign trailer parked in a parking lot.,a large campaign rally trailer parked in a parking lot.
105,"21    303818
Name: id, dtype: int64",A bus traveling down a curvy road behind a black car.,black bus traveling down a curvy road behind a black car.
106,"21    303818
Name: id, dtype: int64",A group of people cross the curved street.,A cheering group of people cross the curved street.
107,"21    303818
Name: id, dtype: int64",A curve in a city road with a bus following a car and people walking on the side.,A curve in a city road with a bus closely following a car and people walking on the side.
108,"21    303818
Name: id, dtype: int64",A group of people walk alongside the road.,A group of people jog alongside the road.
109,"21    303818
Name: id, dtype: int64",A fish eye view of a bus rounding a curve on a city street.,A fish eye view of a bus ride rounding a curve on a city street.
110,"22    463730
Name: id, dtype: int64",Two buses parked in a parking lot next to cars.,Two buses quietly parked in a parking lot next to cars.
111,"22    463730
Name: id, dtype: int64",People crossing a busy city street full of vehicles.,People crossing atop a busy city street full of vehicles.
112,"22    463730
Name: id, dtype: int64",A couple of people are crossing a busy street,A scared couple of people are crossing a busy street
113,"22    463730
Name: id, dtype: int64",Pedestrians crossing a street between buses and cars. ,Pedestrians crossing a street between buses and protesters. 
114,"22    463730
Name: id, dtype: int64",A street with two busses and people walking.,A street with two busses and people camping.
115,"23    460347
Name: id, dtype: int64",A bus traveling on a freeway next to other traffic.,A Volkswagen traveling on a freeway next to other traffic.
116,"23    460347
Name: id, dtype: int64",A bus and other cars driving down a multi-laned street .,A bus and other stationary cars driving down a multi-laned street .
117,"23    460347
Name: id, dtype: int64",A white bus driving on a four lane road.,A municipal bus driving on a four lane road.
118,"23    460347
Name: id, dtype: int64",City bus next to traffic cones in the far right lane of a busy freeway.,City Light bus next to traffic cones in the far right lane of a busy freeway.
119,"23    460347
Name: id, dtype: int64",A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,Yellow white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.
120,"24    322864
Name: id, dtype: int64",A yellow taxi cab sitting below tall buildings.,A yellow taxi leaves sitting below tall buildings.
121,"24    322864
Name: id, dtype: int64",A picture of an animal is on a pole and next to it is a yellow taxi.,A picture of an animal is on a pole and next to it is running a yellow taxi.
122,"24    322864
Name: id, dtype: int64",a couple of yellow signs are near a taxi,a couple of yellow illuminated signs are near a taxi
123,"24    322864
Name: id, dtype: int64",ON A CITY ROAD THERE IS LOTS OF TAXIS,ON LA CITY ROAD THERE IS LOTS OF TAXIS
124,"24    322864
Name: id, dtype: int64",Two guiding signs are pictured in front of a busy street.,Two guiding signs are pictured in front of a busy courthouse.
125,"25    226111
Name: id, dtype: int64","A No bicycles, skates or skateboards sign on a pole.","A No bicycles, skates or skateboards sign on a poster."
126,"25    226111
Name: id, dtype: int64",a close up of a vandalized street sign,a close up of a vandalized Chicago street sign
127,"25    226111
Name: id, dtype: int64","A street sign prohibiting bicycles, skates, and skateboards.","A street sign of bicycles, skates, and skateboards."
128,"25    226111
Name: id, dtype: int64",A street sign mounted to the side of a pole.,A graffiti street sign mounted to the side of a pole.
129,"25    226111
Name: id, dtype: int64",A sign prohibiting skating on the sidewalk with black and red writing.,A sign prohibiting skating on hitting the sidewalk with black and red writing.
130,"26    153299
Name: id, dtype: int64",two giraffes are standing together outside a barn,two giraffes are standing injured outside a barn
131,"26    153299
Name: id, dtype: int64",A mother giraffe is standing with a baby giraffe.,A mother giraffe is standing with another giraffe.
132,"26    153299
Name: id, dtype: int64",The smaller giraffe is standing next to the larger giraffe.,The smaller giraffe is standing next to the other giraffe.
133,"26    153299
Name: id, dtype: int64",Two giraffes in a sanctuary standing close to the wall,Two giraffes in a sanctuary pose close to the wall
134,"26    153299
Name: id, dtype: int64","Two giraffes, one grown and one baby, standing next to each other","Two giraffes, one grown giant and one baby, standing next to each other"
135,"27    308394
Name: id, dtype: int64",An older woman riding a train while sitting under it's window.,An older Caucasian woman riding a train while sitting under it's window.
136,"27    308394
Name: id, dtype: int64",A woman with an umbrella on a commuter train takes a snooze,A woman with off an umbrella on a commuter train takes a snooze
137,"27    308394
Name: id, dtype: int64",There is a woman sitting alone on a train next to a bag,There is a baby sitting alone on a train next to a bag
138,"27    308394
Name: id, dtype: int64",A man sitting on a bench with a shopping bag next to him on a train.,A man sitting on a bench with a shopping bag points to him on a train.
139,"27    308394
Name: id, dtype: int64",A woman with a cane and shopping bag sitting,A woman with a cane lift and shopping bag sitting
140,"28    456496
Name: id, dtype: int64",A woman sitting in front of the Eiffel tower near pigeons.,A woman sitting in front of the Eiffel tower near clay pigeons.
141,"28    456496
Name: id, dtype: int64","A woman sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.","A woman sitting naked on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind."
142,"28    456496
Name: id, dtype: int64",A man sitting on cement by some birds,A dog sitting on cement by some birds
143,"28    456496
Name: id, dtype: int64",a woman seated on wall and birds besides her,a woman seated on wall oping and birds besides her
144,"28    456496
Name: id, dtype: int64",A woman is sitting near a prominent landmark.,A woman herself is sitting near a prominent landmark.
145,"29    58636
Name: id, dtype: int64",A large wooden pole with a green street sign hanging from it.,A large wooden pole with a green street sign sign hanging from it.
146,"29    58636
Name: id, dtype: int64",street signs on the corner of Gladys and Detroit,street signs on the corner of Houston and Detroit
147,"29    58636
Name: id, dtype: int64",The signs give the street names and show where to park.,The signs give the street view and show where to park.
148,"29    58636
Name: id, dtype: int64",A wooden utility pole sports several street signs.,A wooden utility pole sports several street level signs.
149,"29    58636
Name: id, dtype: int64",The street signs for Gladys and Detroit streets are attached to a wooden pole.,The illuminated street signs for Gladys and Detroit streets are attached to a wooden pole.
150,"30    41888
Name: id, dtype: int64",Three birds walking around a dry grass field.,Three birds carefully walking around a dry grass field.
151,"30    41888
Name: id, dtype: int64",There are 3 female peacocks together walking around.,There are 3 baby peacocks together walking around.
152,"30    41888
Name: id, dtype: int64",three strange looking birds walking on the grass,three strange looking birds walking on beside the grass
153,"30    41888
Name: id, dtype: int64",Three birds huddled together in a open field.,Three birds huddled together curled in a open field.
154,"30    41888
Name: id, dtype: int64",Three wild turkeys on top of the dried pasture.,Three wild turkeys on top of the dried food.
155,"31    184321
Name: id, dtype: int64",A train traveling down tracks next to lights.,A ghost train traveling down tracks next to lights.
156,"31    184321
Name: id, dtype: int64",A blue and silver train next to train station and trees.,A blue and silver lantern next to train station and trees.
157,"31    184321
Name: id, dtype: int64",A blue train is next to a sidewalk on the rails.,A blue train is next to a sidewalk on the avenue.
158,"31    184321
Name: id, dtype: int64",A passenger train pulls into a train station.,A passenger train pulls into a Munich train station.
159,"31    184321
Name: id, dtype: int64",A train coming down the tracks arriving at a station.,A train coming down the tracks ends at a station.
160,"32    565778
Name: id, dtype: int64",A train going back to its coarse filled with people.,A ghost train going back to its coarse filled with people.
161,"32    565778
Name: id, dtype: int64",A blue commuter train traveling towards a train tunnel.,A blue Labrador commuter train traveling towards a train tunnel.
162,"32    565778
Name: id, dtype: int64",Blue train car sitting on a train track near tunnel.,Blue Fiat car sitting on a train track near tunnel.
163,"32    565778
Name: id, dtype: int64",A train with people inside is about to go into a tunnel.,A train with people inside is only about to go into a tunnel.
164,"32    565778
Name: id, dtype: int64",A blue train on some train tracks about to go under a bridge,A blue train on some tram tracks about to go under a bridge
165,"33    297343
Name: id, dtype: int64",A stop sign has been placed upside-down in the grass beside a building. ,A stop sign has been placed upside-down in the autumn grass beside a building. 
166,"33    297343
Name: id, dtype: int64",A stop sighn is propped up against the side of a building.,A stop sighn button is propped up against the side of a building.
167,"33    297343
Name: id, dtype: int64",A red stop sign sitting on the floor next to a wall.,A red stop sign sitting on the floor tiles next to a wall.
168,"33    297343
Name: id, dtype: int64",Road sigh on wooden pole shown upside down next to white wall.,Road sigh on wooden pole car shown upside down next to white wall.
169,"33    297343
Name: id, dtype: int64",A stop sign standing up against a wall.,A stop sign standing up against a pavement.
170,"34    336587
Name: id, dtype: int64",a stop sign sittin on a pole that is somewhat broken ,a stop light sittin on a pole that is somewhat broken 
171,"34    336587
Name: id, dtype: int64",A stop sign on a broken post across the street from houses.,A stop sign stands on a broken post across the street from houses.
172,"34    336587
Name: id, dtype: int64",A broken telephone pole in a neighborhood with a stop sign attached to it.,A broken telephone pole in a neighborhood with a broken sign attached to it.
173,"34    336587
Name: id, dtype: int64",A stop sign is on a dented wooden pole.,A stop sign is on a dented wooden totem pole.
174,"34    336587
Name: id, dtype: int64",A stop sign that is attached to a broken wooden pole.,A stop sign that is attached to a broken wooden pipe.
175,"35    122745
Name: id, dtype: int64",A stop sign is lit up in the dark of night.,A purple sign is lit up in the dark of night.
176,"35    122745
Name: id, dtype: int64",A red stop sign sitting on the side of a dark road.,A red stop sign sitting on the side of off a dark road.
177,"35    122745
Name: id, dtype: int64",A red stop sign is glowing against the dark sky.,A storm sign is glowing against the dark sky.
178,"35    122745
Name: id, dtype: int64",A stop sign on the side of a street.,A stop sign on the side of half a street.
179,"35    122745
Name: id, dtype: int64",a vandalized stop sign in the dark with a sky background,a vandalized stop guard in the dark with a sky background
180,"36    219578
Name: id, dtype: int64",A dog and cat lying  together on an orange couch. ,A dog and cat lying  together on an orange linen couch. 
181,"36    219578
Name: id, dtype: int64",A dog and a cat curled up together on a couch.,A curious dog and a cat curled up together on a couch.
182,"36    219578
Name: id, dtype: int64",A cat and dog napping together on the couch.,A cat and dog napping together on the communal couch.
183,"36    219578
Name: id, dtype: int64",A dog and cat are sleeping together on an orange couch.,That dog and cat are sleeping together on an orange couch.
184,"36    219578
Name: id, dtype: int64",A cat and a dog rest together on a hideous orange couch.,A cat and a dog rest together on literally a hideous orange couch.
185,"37    555705
Name: id, dtype: int64",Two cats sitting on top of a pair of shoes.,Two cats sitting together on top of a pair of shoes.
186,"37    555705
Name: id, dtype: int64",Two cats are outside and perched on someone's sneakers.,Two cats are asleep and perched on someone's sneakers.
187,"37    555705
Name: id, dtype: int64",Two cats are sitting on a pair of shoes outdoors.,Two cats are kittens sitting on a pair of shoes outdoors.
188,"37    555705
Name: id, dtype: int64",Two striped cats lying with two sneakers on a ledge.,Two striped cats lying with two brothers on a ledge.
189,"37    555705
Name: id, dtype: int64",Orange and brown cat sitting on top of white shoes. ,Orange and ruby brown cat sitting on top of white shoes. 
190,"38    443303
Name: id, dtype: int64",A cat laying on clothes that are in a suitcase. ,A scared cat laying on clothes that are in a suitcase. 
191,"38    443303
Name: id, dtype: int64",A cat that is laying in a piece of luggage. ,A cat that actually is laying in a piece of luggage. 
192,"38    443303
Name: id, dtype: int64",A cat is laying in an open suitcase on top of some clothes.,A baby is laying in an open suitcase on top of some clothes.
193,"38    443303
Name: id, dtype: int64",A view of a cat lying in a open suitcase.,A view of a cat lying in a open container suitcase.
194,"38    443303
Name: id, dtype: int64",An orange and white cat laying on top of a bag of luggage.,An orange and white cat sleeping on top of a bag of luggage.
195,"39    500663
Name: id, dtype: int64",A herd of cattle grazing on a lush green field.,A herd of cattle grazing on a lush desert green field.
196,"39    500663
Name: id, dtype: int64",There are two cows in this grassy field.,There are two bushes in this grassy field.
197,"39    500663
Name: id, dtype: int64",some black cattle are grazing in a green field,some black cattle are calmly grazing in a green field
198,"39    500663
Name: id, dtype: int64",Cattle are grazing in a bright green pasture along a river and mountains.,Cattle are grazing in a bright green landscape along a river and mountains.
199,"39    500663
Name: id, dtype: int64",A few cows grazing in a field near trees.,A few cows grazing in a small field near trees.
200,"40    418281
Name: id, dtype: int64",two cows outside one laying down and the other standing near a building ,two cows outside saw one laying down and the other standing near a building 
201,"40    418281
Name: id, dtype: int64",The white scared cow in a Tibetan city.,The white scared cow in a pristine Tibetan city.
202,"40    418281
Name: id, dtype: int64",A cow standing in a grassy open field.,A cow standing in a huge open field.
203,"40    418281
Name: id, dtype: int64",A herd of cattle sitting and standing on a lush green field.,A herd of cattle sitting and standing on a giant green field.
204,"40    418281
Name: id, dtype: int64",There white cows in grassy area with temples in background.,There white cows in grassy area with temples in background.
205,"41    25560
Name: id, dtype: int64",An orange and white cat standing in front of a flat screen TV,An orange and white cat standing proudly in front of a flat screen TV
206,"41    25560
Name: id, dtype: int64",A cat climbing on top of a shelf with a tv,A cat climbing on off top of a shelf with a tv
207,"41    25560
Name: id, dtype: int64",A cat is standing on top of a shelf and staring down.,A cat is standing on top of a shelf playing and staring down.
208,"41    25560
Name: id, dtype: int64",A cat standing in front of a tv on a tv stand.,A cat standing in front of a poster on a tv stand.
209,"41    25560
Name: id, dtype: int64",A cat perches on top of an entertainment center in front of a TV.,Adult cat perches on top of an entertainment center in front of a TV.
210,"42    403817
Name: id, dtype: int64",A cat sitting beside a laptop on a desk.,A cat sat sitting beside a laptop on a desk.
211,"42    403817
Name: id, dtype: int64",A curious cat looking upward by a laptop screen.,A curious cat cautiously looking upward by a laptop screen.
212,"42    403817
Name: id, dtype: int64",A picture of a cat staring at the ceiling. ,A picture of a cat staring furiously at the ceiling. 
213,"42    403817
Name: id, dtype: int64",a white and black cat looking up in the air in front of a desktop computer.,a small white and black cat looking up in the air in front of a desktop computer.
214,"42    403817
Name: id, dtype: int64",The grey and white cat stares up near a laptop.,The grey and purple stares up near a laptop.
215,"43    85329
Name: id, dtype: int64",An image of a very cute girl with face piercings.,An image of a very skinny girl with face piercings.
216,"43    85329
Name: id, dtype: int64",Painting of girl that has multiple piercings on face,Painting of girl that has multiple piercings on deaf face
217,"43    85329
Name: id, dtype: int64",A young brunette woman with multiple face piercings.,A sexy young brunette woman with multiple face piercings.
218,"43    85329
Name: id, dtype: int64",A young woman with green eyes and piercings all over her face.,A young woman with sad eyes and piercings all over her face.
219,"43    85329
Name: id, dtype: int64",A drawing of a young woman with many facial piercings.,A drawing of a young woman with those many facial piercings.
220,"44    329323
Name: id, dtype: int64",A group of people who are standing together.,A group of seniors who are standing together.
221,"44    329323
Name: id, dtype: int64",a group of people that are standing up outside,a group of LGBT people that are standing up outside
222,"44    329323
Name: id, dtype: int64",a group of people are all gathered together outside,a group of people are all gathered walking together outside
223,"44    329323
Name: id, dtype: int64",A crowd of people gather around the unwrapping of an item.,A crowd of people gather tightly around the unwrapping of an item.
224,"44    329323
Name: id, dtype: int64",The crowd is looking at something covered in white cloth.,The crowd is looking at something covered deep in white cloth.
225,"45    239274
Name: id, dtype: int64",A yacht with people is near a pier on clear water.,A yacht with people is near a pier on Atlantic water.
226,"45    239274
Name: id, dtype: int64",A group of people mingle on a yacht beside the coast.,A group of people fishing mingle on a yacht beside the coast.
227,"45    239274
Name: id, dtype: int64",People are getting off a boat on a rocky island.,People are getting off a boat on a Mediterranean island.
228,"45    239274
Name: id, dtype: int64",People aboard and boarding a party boat in the water.,People aboard and boarding underneath a party boat in the water.
229,"45    239274
Name: id, dtype: int64",A pontoon boat ferry full of passengers pushes off from shore. ,A pontoon boat ferry full of passengers falls off from shore. 
230,"46    286994
Name: id, dtype: int64",some elephants and one is by some water,some elephants and then one is by some water
231,"46    286994
Name: id, dtype: int64",A elephant drinks from a stream with several other elephants walking in the background.,A black elephant drinks from a stream with several other elephants walking in the background.
232,"46    286994
Name: id, dtype: int64","One elephant standing away from the rest of the herd, drinking water.","One elephant standing away from the rear of the herd, drinking water."
233,"46    286994
Name: id, dtype: int64",An elephant drinking water while the rest of the herd is walking in dry grass.,elephant elephant drinking water while the rest of the herd is walking in dry grass.
234,"46    286994
Name: id, dtype: int64",A group of elephants with water in front and trees behind.,A group of elephants with water in front and trees close.
235,"47    511321
Name: id, dtype: int64",there are two large boats that are in the water ,there are two large boats that are in up the water 
